id,number,title,pipeline,workgroup,type,project,body,repo
469874558,109,Create PWD Expired Permit Data - Due 10/1/19,Recurring,ROW,Data,No,Sql is [here](https://github.com/cityofaustin/atd-amanda/blob/master/plsql-queries/pwd-permit-report.sql). ,atd-amanda
468276636,99,ECV Fees,Backlog,ROW,,No,"**Objective**
Update the ECV folder with fee payment features. ",atd-amanda
465524032,93,Create a Collaborative DAPCZ Agenda Management Tool,Needs Scoping,ROW,New Application,No,"From Paloma:

> Interested in taking our DAPCZ Agenda online.  Making it a shareable, editable, live doc that external stakeholders can access.  Would only want to allow additions not deletions.  Uncertain what program would be best suited for this need.  Would like to invite the Data team member to next month's DAPCZ meeting to get their perspective.  DAPCZ meeting will be Tuesday, June 18th at 10 a.m.",atd-amanda
461827625,92,Documentation,Backlog,ROW,Documentation,No,Document prioritization criteria and script deployment,atd-amanda
461826836,90,Deploy Prioritization Script,Backlog,ROW,Data,No,,atd-amanda
461826791,89,Define ROW Open Datasets,In Progress,ROW,Data,No,"We need to define what the public ROW datasets will look like so that the inspector prioritization, BI, etc. can be automated.

**Permit Types for Open Data**

- DS
- EX
- RW
- UC
- LC

",atd-amanda
459431892,87,ATD AMANDA Service Account,Backlog,DTS,,No,CTM Request # 1956463,atd-amanda
458725534,82,Meeting: Train Mani on Excel Data Validation,Backlog,ROW,Meeting,No,"Schedule a meeting with Mani to teach him how to validate data in excel, so he can tell which permits from the prioritization list were actually inspected, or not inspected.",atd-amanda
458724379,81,Inspections Custom Report,Backlog,ROW,Data,No,"User Story: As the traffic control inspection supervisor, I need to be able to easily determine how many of the permits on the inspection priority list (#52 ) were inspected within any given time range. ",atd-amanda
458223525,80,Automate AMANDA Data Extracation,Backlog,ROW,Data,No,,atd-amanda
458223509,79,Create Open Data Portal Dataset,Backlog,ROW,,No,,atd-amanda
458223421,78,Create Extraction Script w/ Python,Backlog,ROW,,No,,atd-amanda
458223329,77,Create SQL statements,Backlog,ROW,,No,,atd-amanda
458223204,76,AMANDA DB Service Account,Backlog,ROW,,No,,atd-amanda
454240734,72,EX Portal Attachment Issue,Backlog,ROW,Bug Report,No,"From Paloma:

""When applicants submit for an EX they are able to select multiple streets to be impacted and AMANDA will separate that in to the necessary permits by street name.  However, it appears that AMANDA is only adding the attachments to one of those permits at random.  It’s not the biggest deal in the world but if there was a way to straighten out that kink it would be nice.""",atd-amanda
442339951,61,Transportation Mitigation Fees in AMANDA,Backlog,TE,Enhancement,No,"Description: Add new fee for Transportation Mitigation program to SP, C8, ZC, & TIA folders in AMANDA. 

Request Date: 2019-04-15 13:28:00

Request ID: DTS19-104835

Status: In Progress

Customer Priority: 0

Level of Effort: Small Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5cb4cd404bf74b2b9aa71a3c

",atd-amanda
442339944,60,New ROW Investigation Fee AMANDA Report,Backlog,ROW,Reports,No,"Description: I would like to request a report that will show, for a given date range, the people who have been assessed investigative fees, and the amount paid, and with some indication if the fee has been voided or canceled if applicable.

So, for instance:

Date Range: Selectable based on fee assessed date


Overall Total Assessed – Total Paid - # of Fees
Overall Total Assessed – Total Paid - # of Fees for each investigative fee type, e.g.:
      Violation of Permit Conditions
      Improper use of device
      Etc.

ABC Contractors (Total Assessed – Total Paid)
-	Folder # - Description
o	Fee Name (e.g. Investigation Fee – Violation of Permit Conditions)– Date – Amount – Paid Amount
o	Fee Name (e.g. Peak Hours violation)– Date – Amount – Paid Amount
-	Folder # - Description
o	Fee Name… 
o	Etc.
XYZ Contractors (Total Assessed – Total Paid)
-	Folder # - Description
o	Fee Name (e.g. Investigation Fee – Violation of Permit Conditions)– Date – Amount – Paid Amount
o	Fee Name (e.g. Peak Hours violation)– Date – Amount – Paid Amount
-	Folder # - Description
o	Fee Name… 
o	Etc.

Thanks!


Request Date: 2019-04-04 11:09:00

Request ID: DTS19-104730

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5ca62c570a8c2b5ac6764912

",atd-amanda
442339931,58,Auto Create COA Department Permits,Backlog,ROW,Enhancement,No,"Description: How can we streamline the ROW permitting for city departments? Goals include:
Create permit folders by importing data, versus requiring an application.
Upgrade the folder so it aligns with the actual processes taking place with COA ROW permits. (Take out extra infos, cut extra processes, update folder expiration rules, auto-issue permits.)

Request Date: 2019-03-14 14:43:00

Request ID: DTS19-104445

Status: Backlog

Customer Priority: 0

Level of Effort: Large Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c8aaee1aacd0b52f0ffc744

",atd-amanda
442339916,57,AMANDA Task List Issue,In Progress,ROW,Bug Report,No,"Description: User's task list has multiple tasks that should not be open.

Request Date: 2019-03-04 11:42:00

Request ID: DTS19-104265

Status: In Progress

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c7d63826cdb942e9a16d936

",atd-amanda
442339899,56,Change appearance of Excavation Permit,Backlog,ROW,Enhancement,No,"Description: Attachment with markup available. Current template is in AMANDA test.

Request Date: 2019-02-26 10:44:00

Request ID: DTS19-104185

Status: New

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c756cf1e2e4f655ee5f3076

",atd-amanda
442339880,55,ROW Revenue Impact Data Request,Backlog,ROW,Reports,No,"Description: Request for AMANDA data query...

All RW/EX permits issued over the past three years (1/1/2016-12/31/2018).
Pull the total amount paid for each.
Pull the number of extensions granted.
Pull the # of days the permit was active for.


Request Date: 2019-02-12 12:03:00

Request ID: DTS19-104040

Status: New

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c630a8788bafa2a91f5cda7

",atd-amanda
442339867,54,'Application Incomplete' AMANDA Folder Issue,Backlog,DTS,Enhancement,No,"Description: Application Incomplete Issue: When a portal applicant starts an application but does not finish it, a folder for the permit is created in AMANDA with the status ‘Application Incomplete’. There are 2,757 folders in ‘Application Incomplete’ status at this time. My suggestion is to have a batch job run on the 1st of the month that will delete all Application Incomplete folders older than X amount of days. 

Request Date: 2019-01-29 16:55:00

Request ID: DTS19-103835

Status: In Progress

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c50d9cfe6270308b7fa6f42

",atd-amanda
442339845,53,TIA AMANDA Folder Upgrade,Backlog,TE,Enhancement,No,"Description: Upgrade TIA folder to accommodate the entire TIA review process. Right now it only accommodates the creation of fees. 

Request Date: 2019-01-17 13:15:00

Request ID: DTS19-103700

Status: Backlog

Customer Priority: 0

Level of Effort: Small Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c40d448db3b350859d196d8

",atd-amanda
442339831,52,ROW Inspection Prioritization,In Progress,ROW,New Application,No,"Description: Utilize multiple data sources to provide ROW inspectors with a tool that will prioritize their inspections, so that the most critical needs are met first. 

A worksheet with the data sources is attached. 

Request Date: 2019-01-10 16:42:00

Request ID: DTS19-103565

Status: In Progress

Customer Priority: 1

Level of Effort: Large Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c37ca458640f6307ac691b6

",atd-amanda
442339824,51,CPO AMANDA Performance Report,Backlog,Other,Reports,No,"Description: AMANDA report showing CPO review performance measures, broken out by folder type and month. 
	How many processes assigned
	# on time
	# late
	% done on time


Request Date: 2018-12-14 17:22:00

Request ID: DTS18-103350

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c143b304986b008580bd557

",atd-amanda
442339811,50,Add CPO Review Process to Certain Folders in AMANDA,Backlog,Other,Enhancement,No,"Description: Mobility Bond Review process needs to be added to:
	The UC folder - All of Them.
	SCP folder- as needed with the info tab y/n
	LM folder - (already working w/ Andy to make this happen)
	EX- All new installations in the corridor area
	RW - Long term closures in the corridor area


Request Date: 2018-12-14 17:20:00

Request ID: DTS18-103345

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c143ad37eb1fd0863b146e8

",atd-amanda
442339804,49,Out-Of-Process TCP Fees in AMANDA (Audit Request),Backlog,ROW,Enhancement,No,"Description: ROW Fee audit recommendation that out of process TCP review fees be captured in AMANDA ASAP. 
Two Options TBD:
1. Create new fee and apply it on existing folder types
2. Create new (very simple) folder and fee

Request Date: 2018-12-03 13:37:00

Request ID: DTS18-103160

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c058609a3cc99085ea2bb6f

",atd-amanda
442339789,48,AMANDA Comment Email Notifications,Backlog,TE,Enhancement,No,"Description: Eric would like his group to receive automated emails when ROW tags them in a task list comment. ACE may also be interested in this feature. 

Request Date: 2018-11-30 09:22:00

Request ID: DTS18-103105

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c0155b079193a4a8031dcff

",atd-amanda
442339777,47,New TCI Inspector Report,Backlog,ROW,Reports,No,"Description: Inspectors need a report in AMANDA that will show them everything they did between a range of dates, grouped by the deficiency status.

(Make this work without looking at who the process is assigned to.) Can we make this based on the inspector location instead of the inspector's name?

Request Date: 2018-11-29 17:16:00

Request ID: DTS18-103085

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c007353569bed108658fda7

",atd-amanda
442339770,46,Unpaid Fee Flag on Permit Issuance,Backlog,ROW,Enhancement,No,"Description: Requesting an alert to notify analysts when there are unpaid fees affiliated with any people records tied to a folder. Something similar to the current alert received when an analyst attempts to issue a permit that has violations affiliated with an address records tied to a folder.

Request Date: 2018-11-29 17:12:00

Request ID: DTS18-103080

Status: Backlog

Customer Priority: 0

Level of Effort: Small Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c00727bd1bf2c4a9f4d268c

",atd-amanda
442339760,45,Invoice Email From Address Update,Backlog,ROW,Enhancement,No,"Description: Have bills emailed from a folder sent from the rightofway@austintexas.gov email account like inspection reports and permits are.

Request Date: 2018-11-29 17:11:00

Request ID: DTS18-103075

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c007221c1a7bf510ea6ab1c

",atd-amanda
442339749,44,Update DS Permit Workflow for Performance Measure Tracking,Backlog,ROW,Enhancement,No,"Description: Currently the DS folder is not configured to capture when the PLA receives a request to process the permit, so performance measure tracking is not possible. 

Request Date: 2018-11-29 17:09:00

Request ID: DTS18-103070

Status: Backlog

Customer Priority: 0

Level of Effort: Small Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c0071b59ef08153aab1a076

",atd-amanda
442339741,43,Parking Permit Description to Info Copy Bug,Backlog,ROW,Bug Report,No,"Description: The project description provided during the online application process use to populate the Reason for Request info field (#75940) on the Info Tab. This is no longer the case however it is a desired fix. The field is mandatory so PLAs must copy the description provided into this field now in order to proceed with permit review/issuance.

Request Date: 2018-11-29 17:06:00

Request ID: DTS18-103065

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c0070fc5f6f0d4aac83c330

",atd-amanda
442339720,42,Flag deficiency With Investigation Fee,Backlog,ROW,Enhancement,No,"Description: As a traffic control inspector, I need to be able to indicate on a deficiency that it will incur an investigation fee. 

Request Date: 2018-11-29 17:03:00

Request ID: DTS18-103060

Status: Backlog

Customer Priority: 0

Level of Effort: Small Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c0070524c17155232ae28c1

",atd-amanda
442339703,40,UC Permit Task List Bug,Backlog,ROW,Bug Report,No,"Description: Processes on the UC folder don't close when the folder closes, so the associated task lists get very long and cluttered.

2/29/18 - Victor (Previous Employee)

Request Date: 2018-11-29 16:54:00

Request ID: DTS18-103050

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c006e09e1fcfa4d561fb3da

",atd-amanda
442339693,39,DS Work Type Issue,Needs Scoping,ROW,Bug Report,No,"Description: The DS permit should require a work type 100% of the time. This is causing issues with the auto-add phase.

Request Date: 2018-11-29 16:52:00

Request ID: DTS18-103045

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c006daec7b6181927553857

",atd-amanda
442339681,38,AMANDA Fee Waiver Cleanup,Backlog,DTS,Enhancement,No,"Description: Streamline the adjustment reasons ATD uses.
Update the adjustment lists.
Create an ATD specific waiver report.

Request Date: 2018-11-29 16:50:00

Request ID: DTS18-103040

Status: Backlog

Customer Priority: 0

Level of Effort: Small Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c006d4fbb1ce34d8aab9577

",atd-amanda
442339663,37,ROW Permit Extension Process Cleanup ,Backlog,DTS,Enhancement,No,"Description: Clean up extension processes so they are consistent across all ROW permit types.

4/2/18 - Tracy

Request Date: 2018-11-29 16:47:00

Request ID: DTS18-103035

Status: Backlog

Customer Priority: 0

Level of Effort: Small Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c006c88c6e191107780d2fb

",atd-amanda
442339652,36,Refund Report Request,Backlog,OSE,Reports,No,"Description: ACE needs a refund report that helps them identify security deposits that haven't been refunded.

4/13/18 - Brianna & Maria


Request Date: 2018-11-29 16:46:00

Request ID: DTS18-103030

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c006c40b83f3211d98bc8da

",atd-amanda
442339640,35,ROW Contractor Pick List Update in Portal Application,Backlog,ROW,Enhancement,No,"Description: Update the ROW Contractor selection list on DS & EX portal applications, so that only valid options for the applicant are available. (Definition of 'valid' needs to be defined.)

-Paloma 7/11/18

Request Date: 2018-11-29 16:41:00

Request ID: DTS18-103025

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c006b019d6b98510ec13cfc

",atd-amanda
442339612,34,Automate CC Email to Site & Sub,Backlog,ROW,Enhancement,No,"Description: 2/28/18 - Maria Becker should be copied on all EX permits except AWU. This may be updated to include DS permits.

8/3/18 Update - SSI has a group email account now. Send the permits to that email address instead of Maria.

Request Date: 2018-11-29 16:36:00

Request ID: DTS18-103020

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c0069f1efe6294ca5e476c6

",atd-amanda
442339606,33,RW Permit Form Update,Backlog,ROW,Enhancement,No,"Description: Update all RW permit forms to incorporate the property info tab comments.

Request Date: 2018-11-29 16:28:00

Request ID: DTS18-103015

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c0067f6253cc617b53b9c78

",atd-amanda
442339594,32,TURP and Valet Permit Status Issue,Backlog,ROW,Bug Report,No,"Description: Fix the TURP (all subtypes) and Valet (annual and operator) processes so that there is no longer a need for a forced status change.

Request Date: 2018-11-29 16:26:00

Request ID: DTS18-103010

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c0067afd4673a0f23888e88

",atd-amanda
442339584,31,Permit Expiration Notifications,Backlog,ROW,Enhancement,No,"Description: Update ROW AMANDA folders to send the permit applicant a notification email of upcoming permit expiration. This has also been requested by the recent ROW audit. 

Request Date: 2018-11-29 16:25:00

Request ID: DTS18-103005

Status: Backlog

Customer Priority: 0

Level of Effort: Small Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c00675c35eae95096c8d5ae

",atd-amanda
442339571,30,Film Permit Expiration Date Issue,Backlog,ROW,Bug Report,No,"Description: The film permit expiration calculation is odd and not always consistent. Evelyn should be able to explain more.

Request Date: 2018-11-29 16:22:00

Request ID: DTS18-103000

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c0066be6024114c6850406b

",atd-amanda
442339561,29,EX & DS Permit Template Update,Backlog,ROW,Enhancement,No,"Description: The ""Conditions"" field from the Folder Tab is renamed as ""Instructions"" on printed/e-mailed versions of the EX folders and as ""Comments"" on printed/e-mailed versions of the DS folders.

We would like for the print template for both of these folder types to instead state ""Conditions"".

Also, The location description portion prints on a 3rd page (EX permits, this is a bug). 

https://trello.com/c/iMdk9cf0/19-print-permit-template

Request Date: 2018-11-29 16:21:00

Request ID: DTS18-102995

Status: Backlog

Customer Priority: 0

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5c006664cf5d5d4b2af64ac3

",atd-amanda
442339544,28,Update RW Permit Renewal Process for Performance Measure Reporting,Backlog,ROW,Enhancement,No,"Description: We cannot calculate the number of review requests reviewed on time for TURPS, Annual Valet, and Street Vendor permits because the AMANDA folder doesn't have a comprehensive renewal workflow. 

Request Date: 2018-11-01 21:13:00

Request ID: DTS18-101700

Status: Backlog

Customer Priority: 

Level of Effort: Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5bdbb2bc9f8b7042a0d62321

",atd-amanda
442339532,27,Revoke/Suspend License Attempt Bug,Backlog,ROW,Bug Report,No,"Description: AMANDA process # 58020 Revoke/Suspend License should stay open after an attempt is made. It is currently closing, rendering the process useless. 

Request Date: 2018-09-05 13:50:00

Request ID: DTS18-101130

Status: Backlog

Customer Priority: 

Level of Effort: Small Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5b902576b5a842322d0e9060

",atd-amanda
442339519,26,TCI Deficiencies Ease of Use,Backlog,ROW,Enhancement,No,"Description: User Story From Richard: ""The issue with the Amanda system when logging my deficiencies is if I have multiple missing items checked ( Missing barricade, missing sign, missing TCP) when adding my comments all task are listed as missing for each one. This makes it hard to determine if I am logging the correct deficiencies under the correct code/tab."" 

Request Date: 2018-08-30 16:24:00

Request ID: DTS18-101110

Status: Backlog

Customer Priority: 

Level of Effort: Small Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5b8860a3c2b2757bb36b1e94

",atd-amanda
442339504,25,TCI Task List Issue,Backlog,ROW,Bug Report,No,"Description: Per Richard, inspection processes aren't closing out of their AMANDA task list. This is a problem for inspectors who also review plans, as it makes it difficult to find relevant review tasks. 

Request Date: 2018-08-30 15:39:00

Request ID: DTS18-101105

Status: Backlog

Customer Priority: 

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5b885618a640a42b4489d73c

",atd-amanda
442339481,24,"Error on (50075) Right-of-Way Admin Process ""Reactivated” Attempt ",Backlog,ROW,Bug Report,No,"Description: The “reactivated” attempt result on folder process (50075) Right-of-Way Admin will update the folder status to ‘Active’ without checking the folder expiration date. You could inadvertently reactivate an expired permit if you aren’t paying attention. 
Update process code to validate the folder expiration before saving the attempt result.

Request Date: 2018-08-10 00:00:00

Request ID: DTS18-100550

Status: Backlog

Customer Priority: 

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5b6d1c6a2195fc66fa656c81

",atd-amanda
442339466,23,Add 'Abort' as a Deficiency Status,Backlog,ROW,Enhancement,No,"Description: As an inspector, I need the ability to delete a deficiency that was added in error.

7/13/18 - Tracy, Ryan



Request Date: 2018-08-03 00:00:00

Request ID: DTS18-100385

Status: Backlog

Customer Priority: 

Level of Effort: Small Project

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5b64c9f3fbbcf814ca4a0096

",atd-amanda
442339458,22,Create New ROW Performance Measure Report,Backlog,ROW,Reports,No,"Description: Report Parameters:
- Number of Permits Submitted (DS, EX, RW (Minus ACE & Valet License))
- Percentage of Permits Reviewed on Time (Same permits as above. Review time is 5 business days. Start date is folder in-date. Due date trigger is folder status changing from ""Internet Pending"" to whatever status is next.
- Number of Permits Issued
- Total # of SCP Applications Received (from beginning)
- Number of SCP Approved
- Average # of days to approve SCP

Request Date: 2018-08-03 00:00:00

Request ID: DTS18-100405

Status: In Progress

Customer Priority: 

Level of Effort: Minor

DTS URL: https://atd.knack.com/dts#service-requests/view-issue-details/5b64ce53eddce60a7050a41a

",atd-amanda
441902058,21,UC & LM Self-Assignment Customer Email Update,On Deck,ROW,Enhancement,No,**Update the automated email sent to the folder applicant when the UC & LM folders are created as a child of the SP folder.** ,atd-amanda
441896810,18,ROWMAN Phase 3,In Progress,ROW,Feature,Yes,"- Contractor Self Assignment for EX, RW, LC, UC
- Post Payment Features for all ROW permit types. 

[Draft UC/LM Self-Assignment Workflow](https://drive.google.com/file/d/1Bjz8H30oKYnCsGAj3f2Ciwkh6R8yplPN/view?usp=sharing)",atd-amanda
441456576,17,ROW AMANDA Backlog Grooming,Backlog,ROW,Meeting,No,Update the backlog prior to cleaning it up for the unisys estimate. ,atd-amanda
441452436,14,ATD AMANDA Backlog Unisys Estimate Documenation,Backlog,DTS,Documentation,No,"- [ ] Create estimate documentation for Unisys review. 
- [ ] Draft scope for engagement.
- [ ] Pull in the backlog & user stories. ",atd-amanda
441451573,13,ATD Backlog User Stories,Backlog,DTS,Documentation,No,Add user stories to the ATD backlog items.,atd-amanda
441451156,12,ATD Backlog Cleanup ,In Progress,DTS,Documentation,No,"Clean up the backlog. 
Group like items together, and arrange them into logical sprint groups. ",atd-amanda
441449840,11,ATD AMANDA Backlog Development w/ Unisys,Unknown,DTS,Enhancement,No,"Scope: Engage Unisys to develop the items in ATD's AMANDA backlog. 
=

- [x] Sync w/ Stacey Wuest regarding proper process for this engagement 
- [x] Sync w/ Peggy from finance 
- [ ] Clean up the backlog, group like items into likely sprint groups
- [ ] Add user stories to backlog items
- [ ] Draft a scope/requirements document
- [ ] Add this to CMGB portfolio
- [ ] Send documentation to Unisys; requesting estimate
- [ ] Sync w/ Peggy on estimate; get finance approval for estimate & work
- [ ] Request spending authority from CMGB
- [ ] Begin development",atd-amanda
440871924,9,PWD Street Cut Report,Backlog,ROW,Reports,No,"**From Ryan Ward / Jim Dale (see below). Needed by July 1, 2019:**

•Pull expired permits from AMANDA that involved street cut activities on a monthly basis.
:arrow_right_hook: This can be done on a monthly basis. Tracy could setup a report to run on the day of the month needed.
•Street cut activities include excavation that impacts the street, curb or sidewalk.
 :arrow_right_hook: All of the above would be included (EX & DS).
• We need to create a query that pulls info from the XXXXX and YYYYY fields in AMANDA.
   :arrow_right_hook: Most likely we would query from the Folder Type and Folder Status fields but that could depend on the ask. 
• We can begin providing these reports on the 1st of ZZZZZ.
   :arrow_right_hook: This would be a Tracy ask, regarding when she could build the query, but tentatively I would say July 1, 2019.
• We need to know who to send to at PWD.
   :arrow_right_hook: At a high-level this would need to go to the groups that Molly Ritter, Angela Johnson, and Mark Cole supervise.  Uncertain if there would be others as well.
",atd-amanda
421579889,7,Async w/ Sanic,Review with JC,,,No,,atd-cctv-service
430668375,32,Cabinet status update,Review with JC,,,No,create a new job to update signal communication status to signal_cabinet_object. ,atd-data-deploy
406551673,27,Add doi-automation to data ETL jobs,Icebox,,,No,"*🚧 WIP*

Related to https://github.com/cityofaustin/doi-automation/pull/14",atd-data-deploy
